INDICATIVO;A�O;MES;DIA;NOMBRE;ALTITUD;C_X;C_Y;NOM_PROV;LONGITUD;LATITUD;HU00;HU07;HU13;HU18;HUMAX;HUMIN
B013X;2019;4;30;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;89;56;81;90;41
B013X;2019;4;1;LLUC;490;1003867;4424762;BALEARES;253091;394924;84;84;40;58;87;38
B013X;2019;4;2;LLUC;490;1003867;4424762;BALEARES;253091;394924;87;90;67;80;90;39
B013X;2019;4;3;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;90;51;67;90;43
B013X;2019;4;4;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;74;46;49;89;38
B013X;2019;4;5;LLUC;490;1003867;4424762;BALEARES;253091;394924;68;66;43;84;88;34
B013X;2019;4;6;LLUC;490;1003867;4424762;BALEARES;253091;394924;72;79;51;60;89;51
B013X;2019;4;7;LLUC;490;1003867;4424762;BALEARES;253091;394924;62;72;67;71;90;62
B013X;2019;4;8;LLUC;490;1003867;4424762;BALEARES;253091;394924;90;83;52;58;90;40
B013X;2019;4;9;LLUC;490;1003867;4424762;BALEARES;253091;394924;86;59;68;68;88;47
B013X;2019;4;10;LLUC;490;1003867;4424762;BALEARES;253091;394924;72;90;61;58;90;44
B013X;2019;4;11;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;89;47;43;89;37
B013X;2019;4;12;LLUC;490;1003867;4424762;BALEARES;253091;394924;83;82;78;76;89;57
B013X;2019;4;13;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;90;40;47;90;32
B087X;2019;4;1;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;46;61;69;76;78;40
B087X;2019;4;4;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;80;61;50;54;80;29
B087X;2019;4;5;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;36;33;57;70;89;16
B087X;2019;4;8;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;53;44;63;60;72;35
B087X;2019;4;10;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;78;83;65;66;91;61
B087X;2019;4;12;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;81;85;77;75;87;58
B087X;2019;4;13;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;64;57;74;63;80;32
B087X;2019;4;14;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;39;46;69;75;90;17
B103B;2019;4;2;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;91;97;66;79;97;66
B103B;2019;4;4;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;70;54;44;51;78;42
B103B;2019;4;5;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;64;67;66;73;88;49
B013X;2018;12;1;LLUC;490;1003867;4424762;BALEARES;253091;394924;90;88;53;80;90;44
B013X;2018;12;2;LLUC;490;1003867;4424762;BALEARES;253091;394924;86;90;44;86;90;42
B013X;2018;12;3;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;90;55;83;90;50
B013X;2018;12;4;LLUC;490;1003867;4424762;BALEARES;253091;394924;59;86;57;88;90;49
B013X;2018;12;5;LLUC;490;1003867;4424762;BALEARES;253091;394924;90;90;55;87;90;54
B013X;2018;12;6;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;90;52;88;90;48
B013X;2018;12;7;LLUC;490;1003867;4424762;BALEARES;253091;394924;84;90;76;88;90;63
B013X;2018;12;8;LLUC;490;1003867;4424762;BALEARES;253091;394924;90;82;77;87;90;57
B013X;2018;12;9;LLUC;490;1003867;4424762;BALEARES;253091;394924;84;46;38;45;89;36
B013X;2018;12;10;LLUC;490;1003867;4424762;BALEARES;253091;394924;82;88;67;86;89;63
B013X;2018;12;11;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;90;74;87;90;67
B013X;2018;12;12;LLUC;490;1003867;4424762;BALEARES;253091;394924;90;90;47;87;90;44
B013X;2018;12;13;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;87;86;89;89;70
B013X;2018;12;14;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;89;78;85;90;77
B013X;2018;12;15;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;76;52;83;89;49
B013X;2018;12;16;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;90;60;65;90;43
