INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;C_X;C_Y;NOM_PROV;LONGITUD;LATITUD;HU00;HU07;HU13;HU18;HUMAX;HUMIN;
B103B;2018;8;27;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;80;83;55;68;94;50;
B103B;2018;8;28;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;91;88;62;68;94;60;
B103B;2018;8;29;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;77;72;64;74;89;52;
B103B;2018;8;30;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;89;71;54;66;90;44;
B103B;2018;8;31;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;71;80;41;66;81;39;
B158X;2018;8;1;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;92;80;56;68;96;51
B158X;2018;8;2;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;88;71;48;51;93;42
B158X;2018;8;3;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;79;75;43;48;NA;NA
B158X;2018;8;4;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;73;60;33;32;80;29
B158X;2018;8;5;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;55;42;33;63;88;29
B158X;2018;8;6;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;88;74;67;70;90;59
B158X;2018;8;7;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;90;85;63;69;94;53
B158X;2018;8;8;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;86;75;52;69;88;50
B158X;2018;8;9;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;79;75;53;73;85;40
B158X;2018;8;10;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;72;63;53;70;83;51
B158X;2018;8;11;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;83;77;64;72;89;50
B158X;2018;8;12;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;85;79;61;65;92;54
B158X;2018;8;13;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;86;80;64;72;90;62
B158X;2018;8;14;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;90;76;57;0;91;47
B158X;2018;8;15;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;85;75;49;57;93;48
